ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Area,Recommended
100746,vintage,Average,5,M,Summer,v-neck,thressqatar,natural,polyster,null,null,print,C,0
100748,party,very-high,4.6,free,Summer,o-neck,sleevless,empire,rayon,null,hollowout,solid,D,0
100750,Casual,very-high,4.6,M,winter,o-neck,short,natural,null,null,flowers,null,A,1
100752,bohemian,low,5,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,tassel,print,C,1
100753,vintage,Average,0,M,Spring,o-neck,halfsleeve,empire,polyster,null,lace,animal,D,0
100754,cute,Medium,4.6,free,Spring,o-neck,short,natural,chiffonfabric,null,hollowout,solid,C,1
100755,Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,A,1
100756,Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,null,solid,B,0
100757,Brief,Average,4.7,M,winter,o-neck,halfsleeve,natural,acrylic,chiffon,null,striped,E,0
100759,Casual,Average,0,free,Summer,bowneck,halfsleeve,null,cotton,null,null,null,E,0
100760,cute,Average,0,L,Summer,o-neck,sleevless,empire,cotton,null,lace,solid,D,1
100762,Sexy,Low,0,free,Summer,v-neck,sleevless,dropped,null,null,null,null,B,1
100763,Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,null,solid,E,0
100765,Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null,A,0
100766,Casual,Average,4.6,L,winter,boat-neck,sleevless,empire,silk,broadcloth,applique,print,B,1
100768,Casual,Average,3.7,M,Summer,boat-neck,sleevless,natural,linen,null,null,null,B,0
100769,cute,Medium,4.9,S,Summer,bowneck,sleevless,empire,null,null,bow,patchwork,A,1
100771,Sexy,low,4.4,free,Automn,v-neck,sleevless,natural,cotton,worsted,lace,solid,B,0
100774,Casual,Average,4.8,free,winter,o-neck,sleevless,null,polyster,null,sashes,solid,C,0
100777,party,high,4.8,M,Summer,Sweetheart,sleevless,princess,null,sattin,null,null,E,1
100778,vintage,Average,0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,B,0
100782,Casual,low,5,free,Spring,slash-neck,sleevless,empire,spandex,null,null,striped,E,1
100784,Casual,Average,4.3,M,winter,slash-neck,sleeveless,natural,polyster,null,sashes,solid,C,0
100786,sexy,Low,0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,D,1
100787,Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,null,null,solid,D,1
100788,Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,null,embroidary,solid,D,0
100790,Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,null,null,dot,E,0
100791,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,B,0
100794,Casual,low,4.7,free,Summer,o-neck,full,natural,cotton,null,null,solid,A,1
100795,cute,Average,4.7,M,Summer,o-neck,sleevless,natural,chiffonfabric,null,sashes,splice,E,0
100796,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,D,0
100797,Casual,Average,4.7,M,Winter,o-neck,short,empire,polyster,shiffon,null,animal,E,0
100799,Novelty,Average,5,free,Summer,o-neck,sleeveless,natural,null,null,null,print,B,0
100801,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,null,null,bow,solid,A,1
100802,Casual,Average,4.3,M,Spring,o-neck,halfsleeve,null,null,null,null,null,D,1
100803,Casual,Average,4.5,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped,A,0
100804,Brief,Average,4.9,free,Winter,o-neck,sleevless,natural,null,null,null,solid,E,0
100805,Casual,Low,4.7,L,Summer,NULL,sleevless,null,cotton,null,null,solid,D,1
100806,Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,null,ruffles,solid,D,0
100807,Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,D,0
100809,Sexy,Low,4.8,free,Spring,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,A,0
100810,Casual,Low,4.4,M,Winter,v-neck,turndowncollor,null,cotton,null,null,null,A,1
100811,Casual,low,4.7,L,Automn,o-neck,short,natural,polyster,shiffon,null,patchwork,B,1
100812,Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,null,null,solid,B,0
100814,Sexy,Low,0,free,Automn,slash-neck,short,empire,null,null,hollowout,solid,E,0
100816,cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,D,1
100819,Casual,Low,4.8,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid,A,0
100820,Casual,Low,0,L,Winter,o-neck,sleevless,empire,polyster,null,null,leopard,C,0
100821,party,Average,5,free,Summer,v-neck,sleevless,null,null,null,null,null,E,0
100822,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid,C,0
100823,Casual,Average,4.6,M,Spring,o-neck,halfsleeve,natural,polyster,null,lace,solid,A,0
100824,vintage,Low,4.6,M,Summer,o-neck,short,natural,null,chiffon,null,print,C,0
100825,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,null,cotton,null,null,solid,C,0
100826,Casual,Low,4.7,L,Spring,o-neck,short,null,chiffonfabric,chiffon,bow,dot,A,0
100827,OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,null,sashes,solid,C,0
100828,party,Medium,4.7,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,null,E,1
100829,Casual,Low,4.6,free,Automn,o-neck,halfsleeve,natural,chiffonfabric,chiffon,null,leapord,D,1
100830,Casual,Average,4.6,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid,C,1
100831,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,null,null,print,B,0
100833,party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,B,1
100835,vintage,Average,0,free,Summer,o-neck,sleevless,null,null,null,null,null,B,0
100836,Casual,high,5,free,Summer,v-neck,sleevless,natural,nylon,null,null,null,A,1
100837,Sexy,Low,0,free,Summer,v-neck,sleevless,empire,cotton,null,null,solid,D,0
100838,Casual,Low,4.4,free,Summer,o-neck,sleevless,null,null,null,null,null,A,1
100839,Sexy,Medium,0,free,winter,o-neck,sleevless,natural,polyster,null,sequined,solid,A,0
100840,Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,null,chiffon,button,striped,C,0
100841,Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid,E,0
100842,Casual,Average,5,L,Summer,o-neck,sleevless,natural,cotton,null,null,null,A,1
100843,Casual,Average,4.8,M,Summer,o-neck,halfsleeve,null,null,null,null,null,B,0
