id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary 
2114,0.98,0.55,4,255,2,0,0,0,support,low
2115,0.35,0.5,5,227,2,0,0,0,support,low
2116,0.42,0.96,3,270,6,0,0,0,support,low
2117,0.61,0.85,5,230,3,0,0,0,support,low
2118,0.78,0.72,5,270,3,1,0,0,technical,low
2119,0.93,0.52,4,200,3,0,0,0,technical,low
2120,0.5,0.95,5,207,3,0,0,0,technical,low
2121,0.67,0.51,5,182,3,0,0,0,management,low
2122,0.75,0.85,4,234,3,0,0,0,IT,low
2123,0.79,0.51,4,237,2,0,0,0,IT,low
2124,0.84,0.89,4,187,2,1,0,0,IT,low
2125,0.72,0.5,3,257,6,0,0,0,IT,low
2126,0.57,0.48,2,194,2,0,0,0,IT,low
2127,0.73,0.52,4,162,3,0,0,0,product_mng,low
2128,0.74,0.58,4,148,2,0,0,0,product_mng,medium
2129,0.52,0.83,4,210,2,0,0,0,product_mng,medium
2130,0.56,0.76,3,213,2,1,0,0,product_mng,medium
2131,0.76,0.68,4,189,2,1,0,0,IT,medium
2132,0.82,0.93,4,185,2,0,0,0,RandD,medium
2133,0.76,0.83,3,186,2,1,0,0,RandD,medium
2134,0.62,0.59,3,128,3,0,0,0,RandD,medium
2135,0.48,0.8,4,268,3,0,0,0,RandD,medium
2136,0.64,0.77,3,213,3,1,0,0,RandD,medium
2137,0.74,0.82,4,142,2,0,0,0,marketing,medium
2138,0.52,0.43,2,199,2,0,0,0,sales,medium
2139,0.67,0.5,4,157,2,0,0,0,accounting,medium
2140,0.71,0.76,5,172,2,1,0,0,support,high
2141,0.72,0.63,3,176,3,1,0,0,technical,low
2142,0.33,0.58,2,183,2,0,0,0,management,medium
2143,0.91,0.56,4,270,2,0,0,0,marketing,medium
2144,0.88,0.68,5,157,4,1,0,0,marketing,medium
2145,0.96,0.6,4,185,3,0,0,0,marketing,medium
2146,0.97,0.68,3,167,3,0,0,0,sales,low
2147,0.27,0.59,5,226,5,0,0,0,sales,low
2148,0.65,0.64,3,223,4,0,0,0,sales,low
2149,0.68,0.73,3,257,3,0,0,0,sales,low
2150,0.68,0.46,4,143,3,0,0,0,sales,low
2151,0.69,0.74,3,215,2,0,0,0,sales,low
2152,0.79,0.99,3,194,4,0,0,0,sales,low
2153,0.74,0.92,5,193,3,0,0,0,sales,low
2154,0.8,0.83,3,163,3,0,0,0,sales,low
2155,0.38,0.94,5,252,5,0,0,0,sales,low
2156,0.26,0.83,3,168,3,0,0,0,sales,low
2157,0.81,0.86,3,231,3,0,0,0,sales,low
2158,0.67,0.54,2,141,2,0,0,0,sales,low
2159,0.55,0.81,4,260,2,0,0,0,sales,low
2160,0.87,0.71,3,132,2,0,0,0,sales,low
2161,0.46,0.69,2,159,2,0,0,0,sales,low
2162,0.63,0.57,4,177,3,1,0,0,sales,low
2163,0.54,0.96,4,248,3,0,0,0,sales,low
2164,1,0.49,3,185,2,0,0,0,sales,low
2165,0.97,0.66,4,149,2,0,0,0,accounting,low
2166,0.9,0.92,3,152,3,0,0,0,accounting,low
2167,0.75,0.7,3,129,3,0,0,0,accounting,medium
2168,0.92,0.84,4,208,2,0,0,0,hr,medium
2169,0.8,0.94,4,136,2,0,0,0,hr,medium
2170,0.57,0.81,3,142,2,0,0,0,hr,medium
2171,0.81,0.94,3,225,4,0,0,0,hr,medium
2172,0.64,0.6,3,143,3,0,0,0,technical,medium
2173,0.71,0.54,4,215,3,0,0,0,technical,medium
2174,0.35,0.58,3,229,6,1,0,0,technical,medium
2175,0.88,0.81,5,193,5,0,0,0,technical,medium
2176,0.13,0.59,5,160,5,0,0,0,technical,medium
2177,0.82,0.73,4,195,5,1,0,0,technical,medium
2178,0.17,0.92,4,189,2,0,0,0,technical,medium
2179,0.21,0.82,4,207,5,0,0,0,technical,high
2180,0.89,0.47,4,108,3,0,0,0,technical,low
2181,0.2,0.72,6,224,4,0,0,0,technical,medium
2182,0.99,0.81,5,180,3,1,0,0,technical,medium
2183,0.26,0.85,6,152,4,0,0,0,support,medium
2184,0.22,0.53,4,244,2,0,0,0,support,medium
2185,0.79,0.84,3,176,3,0,0,0,support,low
2186,0.73,0.79,4,145,2,1,0,0,support,low
2187,0.83,0.54,3,149,3,0,0,0,support,low
2188,0.42,0.54,3,122,4,0,0,0,support,low
2189,0.18,0.8,2,110,5,0,0,0,support,low
2190,0.92,0.91,4,222,2,0,0,0,support,low
2191,0.87,0.52,3,237,3,0,0,0,support,low
2192,0.72,0.65,4,224,3,0,0,0,support,low
2193,0.64,0.58,5,115,5,0,0,0,support,low
2194,1,0.66,4,180,3,0,0,0,technical,low
2195,0.83,0.65,4,162,3,0,0,0,technical,low
2196,0.98,0.58,4,136,3,0,0,0,technical,low
2197,0.7,0.87,3,260,2,0,0,0,management,low
2198,0.9,0.79,4,150,2,0,0,0,IT,low
2199,0.55,0.99,4,248,3,0,0,0,IT,low
2200,0.78,0.84,3,233,3,1,0,0,IT,low
2201,0.89,0.53,5,272,3,0,0,0,IT,low
2202,0.17,0.59,3,197,5,0,0,0,IT,low
2203,0.14,0.64,5,164,5,0,0,0,product_mng,low
2204,0.85,0.57,4,216,2,0,0,0,product_mng,low
2205,0.84,0.79,4,266,3,1,0,0,product_mng,low
2206,0.7,0.69,3,102,4,1,0,0,product_mng,medium
2207,0.16,0.98,5,284,5,0,0,0,IT,medium
2208,0.51,0.69,3,145,2,1,0,0,RandD,medium
2209,0.6,0.89,3,167,4,0,0,0,RandD,medium
2210,0.5,0.63,3,172,2,0,0,0,RandD,medium
2211,0.43,0.39,5,198,5,0,0,0,RandD,medium
2212,0.5,0.7,4,201,4,0,0,0,RandD,medium
2213,0.91,0.89,4,197,4,0,0,0,marketing,medium
2214,0.65,0.93,4,270,2,0,0,0,sales,medium
2215,0.59,0.52,2,149,3,0,0,0,accounting,medium
2216,0.89,0.56,3,256,3,0,0,0,support,medium
2217,0.97,0.6,3,162,3,0,0,0,technical,medium
2218,0.56,0.97,5,163,2,0,0,0,management,high
2219,0.76,0.93,3,266,3,1,0,0,marketing,low
2220,0.28,0.55,4,208,4,0,0,0,marketing,medium
2221,0.75,0.51,4,138,4,0,0,0,marketing,medium
2222,0.78,0.81,4,232,3,0,0,0,sales,medium
2223,0.26,0.63,6,100,4,0,0,0,sales,medium
2224,0.53,0.72,2,172,5,0,0,0,sales,low
2225,0.25,0.41,3,133,6,1,0,0,sales,low
2226,0.82,0.51,3,234,3,0,0,0,sales,low
2227,0.71,0.57,2,183,4,0,0,0,sales,low
2228,0.61,0.95,4,174,4,0,0,0,sales,low
2229,0.89,0.68,3,175,2,0,0,0,sales,low
2230,0.57,0.78,3,109,3,1,0,0,sales,low
2231,0.93,0.8,4,248,3,0,0,0,sales,low
2232,0.61,0.84,5,104,4,0,0,0,sales,low
2233,0.56,0.62,3,154,2,0,0,0,sales,low
2234,0.7,0.89,6,214,2,0,0,0,sales,low
2235,0.9,0.64,4,209,4,0,0,0,sales,low
2236,0.15,0.74,6,212,2,0,0,0,sales,low
2237,0.39,0.36,3,168,3,1,0,0,sales,low
2238,0.74,0.72,4,176,3,0,0,0,sales,low
2239,0.7,0.61,4,163,4,1,0,0,sales,low
2240,0.72,0.93,4,148,2,0,0,0,sales,low
2241,0.61,0.97,3,137,3,0,0,0,accounting,low
2242,0.96,1,5,162,3,0,0,0,accounting,low
2243,0.7,0.59,4,216,3,0,0,0,accounting,low
2244,0.92,0.49,3,240,2,0,0,0,hr,low
2245,0.72,0.56,4,176,2,0,0,0,hr,medium
2246,0.53,0.75,6,192,6,0,0,0,hr,medium
2247,0.67,0.85,3,160,4,0,0,0,hr,medium
2248,0.78,0.8,4,194,2,1,0,0,technical,medium
2249,0.53,0.75,4,239,2,1,0,0,technical,medium
2250,0.9,0.48,4,204,3,0,0,0,technical,medium
2251,0.16,0.9,5,258,3,0,0,0,technical,medium
2252,0.62,0.38,3,257,3,0,0,0,technical,medium
2253,0.62,0.98,4,137,3,0,0,0,technical,medium
2254,0.22,0.52,6,175,4,0,0,0,technical,medium
2255,0.91,0.82,3,183,3,0,0,0,technical,medium
2256,0.87,0.74,4,190,4,0,0,0,technical,medium
2257,0.95,0.69,3,225,2,0,0,0,technical,high
2258,0.99,0.75,3,215,3,0,0,0,technical,low
2259,0.99,0.57,3,176,4,1,0,0,support,medium
2260,0.77,0.99,4,153,3,1,0,0,support,medium
2261,0.75,0.68,3,150,2,1,0,0,support,medium
2262,0.83,0.54,4,259,5,0,0,0,support,medium
2263,0.61,0.39,3,99,2,0,0,0,support,low
2264,0.91,0.97,3,167,2,0,0,0,support,low
2265,0.47,0.64,3,192,3,0,0,0,support,low
2266,0.77,0.61,5,146,3,0,0,0,support,low
2267,0.55,0.51,3,190,3,0,0,0,support,low
2268,0.32,0.48,5,246,3,0,0,0,support,low
2269,0.96,0.67,6,190,3,0,0,0,support,low
2270,0.72,0.79,5,260,2,0,0,0,technical,low
2271,0.8,0.9,4,136,3,0,0,0,technical,low
2272,0.61,0.55,4,231,3,0,0,0,technical,low
2273,0.97,0.88,3,204,2,0,0,0,management,low
2274,0.63,0.93,4,201,3,0,0,0,IT,low
2275,0.92,0.92,3,159,3,0,0,0,IT,low
2276,0.94,0.74,5,171,3,0,0,0,IT,low
2277,0.79,0.72,6,240,4,0,0,0,IT,low
2278,0.75,0.73,2,152,4,0,0,0,IT,low
2279,0.78,0.99,3,151,3,1,0,0,product_mng,low
2280,0.96,0.45,6,232,2,1,0,0,product_mng,low
2281,0.65,0.68,4,128,5,0,0,0,product_mng,low
2282,0.18,0.94,3,187,6,1,0,0,product_mng,low
2283,0.94,0.51,3,160,2,0,0,0,IT,low
2284,0.84,0.79,4,259,3,0,0,0,RandD,medium
2285,0.67,0.54,2,136,2,0,0,0,RandD,medium
2286,0.71,0.5,4,253,3,0,0,0,RandD,medium
2287,0.56,0.64,3,260,3,0,0,0,RandD,medium
2288,0.29,0.56,5,231,6,0,0,0,RandD,medium
2289,0.47,0.9,3,101,2,1,0,0,marketing,medium
2290,0.4,0.69,2,174,3,0,0,0,sales,medium
2291,0.81,0.82,4,167,2,0,0,0,accounting,medium
2292,0.96,0.99,3,148,3,0,0,0,support,medium
2293,0.99,0.75,6,139,5,1,0,0,technical,medium
2294,0.75,0.77,4,136,3,0,0,0,management,medium
2295,0.75,0.74,4,153,2,0,0,0,marketing,medium
2296,1,0.86,4,161,2,0,0,0,marketing,high
2297,0.52,0.53,2,163,2,0,0,0,marketing,low
2298,0.98,0.74,3,164,3,0,0,0,sales,medium
2299,0.6,0.64,2,137,5,0,0,0,sales,medium
2300,0.38,0.44,3,137,3,0,0,0,sales,medium
2301,0.51,0.41,6,106,5,0,0,0,sales,medium
2302,0.91,0.61,2,272,2,0,0,0,sales,low
2303,0.56,0.62,5,238,3,0,0,0,sales,low
2304,0.58,0.69,4,223,4,0,0,0,sales,low
2305,0.51,0.53,3,201,2,0,0,0,sales,low
2306,0.91,0.55,6,97,4,0,0,0,sales,low
2307,0.8,0.98,2,232,6,1,0,0,sales,low
2308,0.55,0.83,4,199,3,0,0,0,sales,low
2309,0.62,0.53,3,141,3,0,0,0,sales,low
2310,0.62,0.6,3,171,2,0,0,0,sales,low
2311,0.87,0.58,4,212,3,0,0,0,sales,low
2312,0.65,0.5,5,270,2,0,0,0,sales,low
2313,0.51,0.64,3,267,2,0,0,0,sales,low
2314,0.98,0.77,3,134,2,1,0,0,sales,low
2315,0.13,0.43,4,165,5,0,0,0,sales,low
2316,0.78,0.76,5,168,4,1,0,0,sales,low
2317,0.6,0.98,3,262,2,0,0,0,accounting,low
2318,0.68,0.69,3,185,2,0,0,0,accounting,low
2319,0.55,0.84,3,237,3,0,0,0,accounting,low
2320,0.99,0.79,4,192,3,0,0,0,hr,low
2321,0.92,0.68,5,236,2,0,0,0,hr,low
2322,1,0.65,4,202,4,1,0,0,hr,low
2323,0.77,0.93,4,171,2,0,0,0,hr,medium
2324,0.86,0.7,5,160,3,0,0,0,technical,medium
2325,0.89,0.84,2,252,3,0,0,0,technical,medium
2326,0.58,0.55,5,206,3,0,0,0,technical,medium
2327,0.56,0.66,3,212,2,0,0,0,technical,medium
2328,0.38,0.64,3,111,3,0,0,0,technical,medium
2329,0.62,0.64,3,240,2,0,0,0,technical,medium
2330,0.66,0.77,2,171,2,0,0,0,technical,medium
2331,0.3,0.44,3,129,2,0,0,0,technical,medium
2332,0.82,0.83,3,271,2,0,0,0,technical,medium
2333,0.96,0.68,4,162,2,0,0,0,technical,medium
2334,0.66,0.95,3,191,3,0,0,0,technical,medium
2335,0.79,0.5,5,176,3,0,0,0,support,high
2336,0.97,0.77,3,182,2,1,0,0,support,low
2337,0.59,0.65,3,226,3,0,0,0,support,medium
2338,0.57,0.48,4,161,3,0,0,0,support,medium
2339,0.64,0.53,4,163,3,0,0,0,support,medium
2340,0.14,0.51,5,173,4,0,0,0,support,medium
2341,0.48,0.55,3,228,2,0,0,0,support,low
2342,0.78,1,3,139,3,0,0,0,support,low
2343,0.96,0.62,5,128,5,0,0,0,support,low
2344,0.82,0.97,3,115,2,1,0,0,support,low
2345,0.94,0.9,5,191,4,0,0,0,support,low
2346,0.95,0.66,4,183,3,0,0,0,technical,low
2347,0.59,0.43,3,173,3,0,0,0,technical,low
2348,0.69,0.89,4,174,2,0,0,0,technical,low
2349,0.74,0.72,3,213,3,0,0,0,management,low
2350,0.67,0.67,4,192,4,0,0,0,IT,low
2351,0.83,0.52,3,167,2,1,0,0,IT,low
2352,0.81,0.85,3,263,3,1,0,0,IT,low
2353,0.54,0.73,2,100,3,0,0,0,IT,low
2354,0.89,0.83,3,164,3,0,0,0,IT,low
2355,0.79,0.74,5,172,2,0,0,0,product_mng,low
2356,0.46,0.58,4,171,3,0,0,0,product_mng,low
2357,0.99,0.93,4,236,3,0,0,0,product_mng,low
2358,0.75,0.9,5,186,4,0,0,0,product_mng,low
2359,0.93,0.82,4,175,3,0,0,0,IT,low
2360,0.65,0.6,5,227,3,0,0,0,RandD,low
2361,0.19,0.63,4,142,6,0,0,0,RandD,low
2362,0.48,0.61,2,121,2,0,0,0,RandD,medium
2363,0.95,0.64,5,234,3,0,0,0,RandD,medium
2364,0.92,0.77,4,185,3,0,0,0,RandD,medium
2365,0.84,0.54,4,160,3,0,0,0,marketing,medium
2366,0.37,0.63,4,153,3,1,0,0,sales,medium
2367,0.22,0.74,3,199,6,0,0,0,accounting,medium
2368,0.64,0.54,3,166,2,0,0,0,support,medium
2369,0.72,0.88,2,247,3,0,0,0,technical,medium
2370,0.48,0.69,4,245,3,0,0,0,management,medium
2371,0.12,0.55,5,242,4,0,0,0,marketing,medium
2372,0.78,0.98,5,158,2,0,0,0,marketing,medium
2373,0.71,0.74,3,163,3,1,0,0,marketing,medium
2374,0.38,0.69,3,99,3,1,0,0,sales,high
2375,0.57,0.85,4,164,3,0,0,0,sales,low
2376,0.72,0.51,3,160,3,0,0,0,sales,medium
2377,0.6,0.57,2,184,3,0,0,0,sales,medium
2378,0.61,0.55,5,266,2,0,0,0,sales,medium
2379,0.67,0.64,4,190,2,0,0,0,sales,medium
2380,0.97,0.97,5,192,2,0,0,0,sales,low
2381,0.22,0.6,3,205,6,1,0,0,sales,low
2382,0.15,0.53,4,205,5,1,0,0,sales,low
2383,0.6,0.6,3,258,3,0,0,0,sales,low
2384,0.15,0.8,5,151,2,1,0,0,sales,low
2385,0.5,0.81,3,148,2,0,0,0,sales,low
2386,0.9,0.67,3,179,2,0,0,0,sales,low
2387,0.84,0.51,6,141,2,1,0,0,sales,low
2388,0.74,0.78,5,216,2,0,0,0,sales,low
2389,0.72,0.51,3,235,2,0,0,0,sales,low
2390,0.93,0.63,3,160,4,1,0,0,sales,low
2391,0.54,0.69,3,141,4,0,0,0,sales,low
2392,0.87,0.65,4,246,2,1,0,0,sales,low
2393,0.19,0.98,5,226,4,1,0,0,accounting,low
2394,0.33,0.4,4,212,2,1,0,0,accounting,low
2395,0.94,0.93,4,220,3,0,0,0,accounting,low
2396,0.77,0.49,4,266,2,0,0,0,hr,low
2397,0.48,0.82,3,183,2,0,0,0,hr,low
2398,0.7,0.74,5,263,3,1,0,0,hr,low
2399,0.54,0.93,4,161,4,1,0,0,hr,low
2400,0.61,0.98,4,199,2,0,0,0,technical,low
2401,0.97,0.4,4,258,4,1,0,0,technical,medium
2402,0.6,0.85,3,209,2,1,0,0,technical,medium
2403,0.93,0.84,5,135,3,0,0,0,technical,medium
2404,0.48,0.69,4,222,2,0,0,0,technical,medium
2405,0.16,0.76,5,192,3,0,0,0,technical,medium
2406,0.18,0.75,3,250,3,0,0,0,technical,medium
2407,0.84,0.75,3,187,3,1,0,0,technical,medium
2408,0.69,0.63,4,217,3,0,0,0,technical,medium
2409,0.22,0.88,4,213,3,1,0,0,technical,medium
2410,0.83,0.52,4,273,3,0,0,0,technical,medium
2411,0.58,0.5,2,132,3,0,0,0,support,medium
2412,0.61,0.62,4,140,3,1,0,0,support,medium
2413,0.67,0.5,4,173,2,1,0,0,support,high
2414,0.56,0.76,4,189,2,0,0,0,support,low
2415,0.74,0.74,3,156,3,0,0,0,support,medium
2416,0.92,0.97,4,238,5,1,0,0,support,medium
2417,0.81,0.68,5,230,2,0,0,0,support,medium
2418,0.48,0.49,4,242,2,1,0,0,support,medium
2419,0.73,0.72,4,197,3,0,0,0,support,low
2420,0.97,0.66,6,164,5,0,0,0,support,low
2421,0.15,0.51,6,248,5,0,0,0,support,low
2422,0.69,0.76,5,255,6,0,0,0,technical,low
2423,0.61,0.68,5,225,4,0,0,0,technical,low
2424,0.86,0.58,3,151,2,0,0,0,technical,low
2425,0.55,0.88,4,252,3,0,0,0,management,low
2426,0.9,0.74,4,206,4,1,0,0,IT,low
2427,0.65,0.4,2,141,2,0,0,0,IT,low
2428,0.81,0.92,5,259,3,0,0,0,IT,low
2429,0.65,0.86,5,250,3,0,0,0,IT,low
2430,0.47,0.86,4,169,6,0,0,0,IT,low
2431,0.93,0.53,3,200,3,1,0,0,product_mng,low
2432,0.77,0.9,4,104,5,0,0,0,product_mng,low
2433,0.87,0.82,6,176,3,0,0,0,product_mng,low
2434,0.87,0.84,5,137,2,0,0,0,product_mng,low
2435,0.65,0.75,2,151,3,0,0,0,IT,low
2436,0.21,0.7,6,130,6,1,0,0,RandD,low
2437,0.75,0.59,4,199,2,0,0,0,RandD,low
2438,0.72,0.86,4,191,2,0,0,0,RandD,low
2439,0.88,0.63,3,273,3,1,0,0,RandD,low
2440,0.66,0.58,3,205,3,0,0,0,RandD,medium
2441,0.8,0.75,3,181,3,0,0,0,marketing,medium
2442,0.22,0.55,4,261,3,1,0,0,sales,medium
2443,0.92,0.69,3,192,3,0,0,0,accounting,medium
2444,0.54,0.77,4,271,3,0,0,0,support,medium
2445,0.91,0.56,4,158,3,0,0,0,technical,medium
2446,0.77,0.83,4,231,2,0,0,0,management,medium
2447,0.61,0.51,3,156,3,1,0,0,marketing,medium
2448,0.48,0.9,4,201,4,0,0,0,marketing,medium
2449,0.25,0.69,3,187,4,0,0,0,marketing,medium
2450,0.91,0.7,3,132,4,0,0,0,sales,medium
2451,0.72,0.58,5,147,3,1,0,0,sales,medium
2452,0.77,0.71,4,223,3,0,0,0,sales,high
2453,0.41,0.4,2,194,2,0,0,0,sales,low
2454,0.51,0.49,4,234,2,0,0,0,sales,medium
2455,0.72,0.79,3,149,3,0,0,0,sales,medium
2456,0.47,0.57,3,162,3,1,0,0,sales,medium
2457,0.53,0.67,4,238,2,0,0,0,sales,medium
2458,0.65,0.52,5,149,3,0,0,0,sales,low
2459,0.18,0.75,4,170,5,0,0,0,sales,low
2460,0.61,0.48,3,250,2,0,0,0,sales,low
2461,0.86,0.72,4,167,2,0,0,0,sales,low
2462,0.14,0.77,4,166,5,0,0,0,sales,low
2463,0.63,0.8,3,205,2,0,0,0,sales,low
2464,0.79,0.57,3,250,3,0,0,0,sales,low
2465,0.78,0.97,4,142,3,0,0,0,sales,low
2466,0.14,0.52,4,217,6,0,0,0,sales,low
2467,0.85,0.54,3,139,3,0,0,0,sales,low
2468,0.85,0.75,4,139,3,0,0,0,sales,low
2469,0.91,0.76,5,152,3,0,0,0,accounting,low
2470,0.76,0.74,3,224,2,0,0,0,accounting,low
2471,0.62,0.72,5,180,3,0,0,0,accounting,low
2472,0.53,0.69,4,216,2,0,0,0,hr,low
2473,0.97,0.63,3,133,3,0,0,0,hr,low
2474,0.48,0.53,4,271,3,0,0,0,hr,low
2475,0.5,0.55,4,148,3,1,0,0,hr,low
2476,0.32,0.42,2,99,4,0,0,0,technical,low
2477,0.58,0.77,4,196,2,1,0,0,technical,low
2478,0.81,0.83,3,196,2,0,0,0,technical,low
2479,0.48,0.84,4,228,3,0,0,0,technical,medium
2480,0.96,0.88,4,165,2,0,0,0,technical,medium
2481,0.56,0.9,3,235,2,0,0,0,technical,medium
2482,0.63,0.96,4,167,2,0,0,0,technical,medium
2483,0.21,0.5,5,255,5,0,0,0,technical,medium
2484,0.94,0.78,3,184,3,1,0,0,technical,medium
2485,0.94,0.89,4,239,3,0,0,0,technical,medium
2486,0.96,0.54,3,153,2,0,0,0,technical,medium
2487,0.49,0.5,4,187,5,1,0,0,support,medium
2488,0.82,0.68,2,285,2,0,0,0,support,medium
2489,0.6,0.5,3,274,3,0,0,0,support,medium
2490,0.76,0.5,3,156,3,1,0,0,support,medium
2491,0.69,0.64,5,265,2,1,0,0,support,high
2492,1,0.94,4,144,3,0,0,0,support,low
2493,0.62,0.66,4,143,3,0,0,0,support,medium
2494,0.4,0.99,4,214,6,1,0,0,support,medium
2495,0.94,0.91,3,163,3,0,0,0,support,medium
2496,0.76,0.84,4,236,4,0,0,0,support,medium
2497,0.58,0.69,3,146,4,0,0,0,support,low
2498,0.85,0.78,4,106,2,0,0,0,technical,low
2499,0.45,0.52,2,105,3,0,0,0,technical,low
2500,0.13,0.67,3,181,4,0,0,0,technical,low
2501,0.24,0.5,5,174,4,0,0,0,management,low
2502,0.64,0.69,3,207,2,1,0,0,IT,low
2503,0.63,0.61,6,118,2,0,0,0,IT,low
2504,0.61,0.99,4,251,2,0,0,0,IT,low
2505,0.71,0.99,2,136,3,0,0,0,IT,low
2506,0.9,0.89,5,249,3,1,0,0,IT,low
2507,0.17,0.76,4,171,5,0,0,0,product_mng,low
2508,0.93,0.97,3,256,2,1,0,0,product_mng,low
2509,0.83,0.89,5,141,3,1,0,0,product_mng,low
2510,0.58,0.75,4,186,2,0,0,0,product_mng,low
2511,0.76,0.5,3,258,3,0,0,0,IT,low
2512,0.5,0.78,3,228,2,0,0,0,RandD,low
2513,0.22,0.81,5,205,4,0,0,0,RandD,low
2514,0.9,0.88,4,174,3,0,0,0,RandD,low
2515,0.7,0.63,3,155,4,1,0,0,RandD,low
2516,0.73,0.85,5,245,3,0,0,0,RandD,low
2517,0.84,0.87,3,271,3,0,0,0,marketing,low
2518,0.55,0.63,5,184,4,0,0,0,marketing,medium
2519,0.63,0.98,4,175,2,0,0,0,sales,medium
2520,0.51,0.92,3,224,3,0,0,0,accounting,medium
2521,0.81,0.76,4,177,3,0,0,0,support,medium
2522,0.8,0.96,4,268,3,0,0,0,technical,medium
2523,0.99,0.97,4,208,3,0,0,0,management,medium
2524,0.9,0.87,5,219,2,0,0,0,marketing,medium
2525,0.65,0.67,5,128,5,0,0,0,marketing,medium
2526,0.75,0.75,3,273,3,0,0,0,marketing,medium
2527,0.62,0.49,4,218,4,0,0,0,sales,medium
2528,0.61,0.63,5,230,3,0,0,0,sales,medium
2529,0.24,0.6,4,195,5,0,0,0,sales,medium
2530,0.71,0.63,3,254,3,1,0,0,sales,high
2531,0.49,0.8,2,275,2,0,0,0,sales,low
2532,0.44,0.66,3,162,2,0,0,0,sales,medium
2533,0.75,0.87,4,193,3,0,0,0,sales,medium
2534,0.74,0.84,3,239,4,0,0,0,sales,medium
2535,0.62,0.87,5,149,3,0,0,0,sales,medium
2536,0.51,0.58,3,155,3,0,0,0,sales,low
2537,0.61,0.59,5,271,2,0,0,0,sales,low
2538,0.56,0.49,5,163,3,0,0,0,sales,low
2539,0.79,0.76,3,160,3,0,0,0,sales,low
2540,0.68,0.75,6,274,5,0,0,0,sales,low
2541,0.9,0.84,2,199,3,0,0,0,sales,low
2542,0.83,0.93,5,241,3,0,0,0,sales,low
2543,0.94,0.82,3,187,3,0,0,0,sales,low
2544,0.21,0.65,5,223,3,1,0,0,sales,low
2545,0.58,0.87,3,268,2,0,0,0,sales,low
2546,0.52,0.38,6,169,3,0,0,0,accounting,low
2547,0.18,0.67,5,285,5,0,0,0,accounting,low
2548,0.94,0.91,5,254,3,0,0,0,accounting,low
2549,0.69,0.5,3,208,4,0,0,0,hr,low
2550,0.65,0.83,4,218,3,0,0,0,hr,low
2551,0.46,0.62,2,187,3,0,0,0,hr,low
2552,0.72,0.62,4,256,3,0,0,0,hr,low
2553,0.3,0.37,6,278,3,0,0,0,technical,low
2554,0.51,0.51,4,204,2,0,0,0,technical,low
2555,0.43,0.75,3,108,2,0,0,0,technical,low
2556,0.56,0.94,3,226,2,0,0,0,technical,low
2557,0.63,0.91,4,246,3,0,0,0,technical,medium
2558,0.61,0.55,5,260,3,0,0,0,technical,medium
2559,0.53,0.73,4,248,2,0,0,0,technical,medium
2560,0.87,0.75,3,132,3,0,0,0,technical,medium
2561,0.68,0.7,4,185,4,0,0,0,technical,medium
2562,0.78,0.84,3,269,2,0,0,0,technical,medium
2563,0.49,0.95,4,156,2,0,0,0,technical,medium
2564,0.96,0.81,3,212,3,0,0,0,support,medium
2565,0.83,0.74,3,221,2,0,0,0,support,medium
2566,0.48,0.67,5,273,3,0,0,0,support,medium
2567,0.63,0.86,4,271,3,1,0,0,support,medium
2568,0.87,0.38,4,183,5,0,0,0,support,medium
2569,0.21,0.9,4,271,6,0,0,0,support,high
2570,0.79,0.58,5,165,3,0,0,0,support,low
2571,0.8,0.96,3,257,5,0,0,0,support,medium
2572,0.78,0.82,4,143,3,0,0,0,support,medium
2573,0.67,0.65,5,156,2,0,0,0,support,medium
2574,0.67,0.71,3,190,3,1,0,0,support,medium
2575,0.26,0.67,2,242,6,0,0,0,technical,low
2576,0.89,0.83,5,267,4,0,0,0,technical,low
2577,0.7,0.53,4,152,3,0,0,0,technical,low
2578,0.51,0.48,5,136,4,0,0,0,management,low
2579,0.53,0.88,3,157,3,0,0,0,IT,low
2580,0.76,0.51,4,281,3,0,0,0,IT,low
2581,0.86,0.93,5,208,2,0,0,0,IT,low
2582,0.63,0.96,5,152,3,0,0,0,IT,low
2583,0.58,0.86,5,271,3,0,0,0,IT,low
2584,0.58,0.83,4,163,3,1,0,0,product_mng,low
2585,0.9,0.82,4,136,3,0,0,0,product_mng,low
2586,0.79,0.57,4,233,2,0,0,0,product_mng,low
2587,0.8,0.74,4,221,4,0,0,0,product_mng,low
2588,0.53,0.65,2,189,2,1,0,0,IT,low
2589,0.52,0.84,2,226,3,0,0,0,RandD,low
2590,0.82,0.59,5,201,3,0,0,0,RandD,low
2591,0.68,0.9,2,133,4,0,0,0,RandD,low
2592,0.21,0.61,3,173,2,0,0,0,RandD,low
2593,0.81,0.5,4,152,3,1,0,0,RandD,low
2594,0.57,0.9,3,256,4,0,0,0,RandD,low
2595,0.99,0.72,3,119,2,1,0,0,marketing,low
2596,0.9,1,4,207,3,0,0,0,sales,medium
2597,0.76,0.64,3,189,3,0,0,0,accounting,medium
2598,0.56,0.92,4,172,2,0,0,0,support,medium
2599,0.5,0.93,6,150,3,1,0,0,technical,medium
2600,0.48,0.89,5,179,3,0,0,0,management,medium
2601,0.99,0.97,3,257,2,0,0,0,marketing,medium
2602,0.76,0.8,5,229,2,0,0,0,marketing,medium
